docs,query,operator_type,memory_latency_ms,memory_latency_ci_low_ms,memory_latency_ci_high_ms,mmap_latency_ms,mmap_latency_ci_low_ms,mmap_latency_ci_high_ms,mmap_to_memory_ratio,memory_hits,mmap_hits,results_equal
25000,feminism AND women,AND,0.0994,0.0801,0.1187,3.5698,3.3975,3.7421,35.9135,198,198,true
25000,feminist AND movement,AND,0.1064,0.0968,0.1160,3.4782,3.3848,3.5716,32.6898,367,367,true
25000,five AND back,AND,0.7942,0.7842,0.8042,7.8598,7.7050,8.0146,9.8965,5174,5174,true
25000,five AND book,AND,0.8102,0.7473,0.8731,8.0330,7.9335,8.1325,9.9148,4263,4263,true
25000,five AND caption,AND,0.5848,0.5611,0.6085,6.2324,6.0969,6.3679,10.6573,4636,4636,true
25000,five AND city,AND,1.0818,1.0443,1.1193,10.7488,10.6390,10.8586,9.9360,5286,5286,true
25000,five AND country,AND,0.8546,0.8311,0.8781,8.5040,8.4193,8.5887,9.9509,4872,4872,true
25000,five AND death,AND,0.8638,0.7824,0.9452,8.4004,8.3126,8.4882,9.7249,4871,4871,true
25000,five AND described,AND,0.6676,0.6453,0.6899,7.2988,7.1689,7.4287,10.9329,4393,4393,true
25000,five AND developed,AND,0.7242,0.6852,0.7632,7.5442,7.5011,7.5873,10.4173,4522,4522,true
25000,five AND development,AND,0.7198,0.6900,0.7496,7.8322,7.5685,8.0959,10.8811,4392,4392,true
25000,five AND down,AND,0.7296,0.7045,0.7547,7.3956,7.2879,7.5033,10.1365,4861,4861,true
25000,five AND either,AND,0.6590,0.6375,0.6805,7.2022,7.0693,7.3351,10.9290,4321,4321,true
25000,five AND established,AND,0.8050,0.7860,0.8240,8.3000,8.1484,8.4516,10.3106,5000,5000,true
25000,five AND family,AND,0.7750,0.7389,0.8111,8.6622,6.9781,10.3463,11.1770,4621,4621,true
25000,five AND former,AND,3.5498,-0.2114,7.3110,36.8272,32.5885,41.0659,10.3744,4890,4890,true
25000,five AND further,AND,1.7184,-0.0080,3.4448,17.1924,8.8533,25.5315,10.0049,5002,5002,true
25000,five AND important,AND,1.8232,0.1396,3.5068,19.6250,11.6916,27.5584,10.7640,4589,4589,true
25000,five AND included,AND,1.1358,1.0867,1.1849,11.6682,11.3200,12.0164,10.2731,5235,5235,true
25000,five AND just,AND,0.9844,0.9480,1.0208,19.1676,12.2276,26.1076,19.4714,4785,4785,true
25000,five AND less,AND,1.8904,0.1874,3.5934,11.6952,11.4809,11.9095,6.1866,4688,4688,true
25000,five AND making,AND,1.0838,1.0199,1.1477,11.2460,11.1460,11.3460,10.3765,4872,4872,true
25000,five AND named,AND,1.3380,1.2950,1.3810,49.7626,16.5047,83.0205,37.1918,4922,4922,true
25000,five AND north,AND,2.1838,2.0287,2.3389,11.6978,7.7884,15.6072,5.3566,5043,5043,true
25000,five AND original,AND,0.8820,0.7516,1.0124,7.3784,7.2938,7.4630,8.3655,4571,4571,true
25000,five AND point,AND,0.7418,0.7169,0.7667,7.6138,7.5866,7.6410,10.2640,4699,4699,true
25000,five AND power,AND,0.8220,0.7914,0.8526,8.2302,8.1663,8.2941,10.0124,4635,4635,true
25000,five AND present,AND,0.6960,0.6781,0.7139,7.1384,7.0683,7.2085,10.2563,4691,4691,true
25000,five AND public,AND,0.8364,0.8211,0.8517,8.2228,8.1414,8.3042,9.8312,5064,5064,true
25000,five AND published,AND,0.7278,0.7022,0.7534,7.6668,7.6153,7.7183,10.5342,4416,4416,true
25000,five AND rather,AND,0.6380,0.6136,0.6624,7.1600,7.1016,7.2184,11.2226,4340,4340,true
25000,five AND related,AND,0.6046,0.5831,0.6261,6.8140,6.7584,6.8696,11.2703,4060,4060,true
25000,five AND result,AND,0.7078,0.6820,0.7336,7.2680,7.2130,7.3230,10.2684,4767,4767,true
25000,five AND series,AND,0.9524,0.8853,1.0195,8.4546,8.1981,8.7111,8.8772,4818,4818,true
25000,five AND short,AND,0.6832,0.6512,0.7152,7.0478,7.0021,7.0935,10.3159,4389,4389,true
25000,five AND single,AND,0.7464,0.7151,0.7777,7.5318,7.4316,7.6320,10.0908,4601,4601,true
