corpus_name,docs,query,operator_type,rank_mode,backend,iterations,hits,avg_latency_ms,avg_latency_ci_low_ms,avg_latency_ci_high_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,qps,qps_ci_low,qps_ci_high,alloc_bytes_per_query,allocs_per_query
wiki,835456,17th ADJ century,ADJ,bm25,mmap-shards,5,22760,38.2288,34.3042,42.1534,38.6220,39.4500,34.0700,42.4840,26.1583,23.7229,29.1510,111298694,1639948
wiki,835456,18th ADJ century,ADJ,bm25,mmap-shards,5,29727,60.1648,19.4802,100.8494,41.7150,76.9850,35.6990,110.1820,16.6210,9.9158,51.3341,113817032,1690234
wiki,835456,19th ADJ century,ADJ,bm25,mmap-shards,5,68661,41.4952,37.6573,45.3331,41.1080,43.5780,38.2780,45.5900,24.0992,22.0590,26.5553,129128971,1961519
wiki,835456,20th ADJ century,ADJ,bm25,mmap-shards,5,131679,64.9824,23.8988,106.0660,49.8410,53.3820,48.3380,124.0820,15.3888,9.4281,41.8431,154642908,2405588
wiki,835456,21st ADJ century,ADJ,bm25,mmap-shards,5,60363,44.3916,35.3304,53.4528,41.2510,47.7540,38.2860,55.6200,22.5268,18.7081,28.3042,123555713,1880662
wiki,835456,align ADJ center,ADJ,bm25,mmap-shards,5,86598,81.8346,49.1950,114.4742,74.8300,83.2410,62.2300,126.1530,12.2198,8.7356,20.3273,299972931,1866768
wiki,835456,best ADJ known,ADJ,bm25,mmap-shards,5,36742,39.0984,35.1625,43.0343,37.7630,41.8930,36.2210,43.0730,25.5765,23.2373,28.4394,139706528,2531931
wiki,835456,birth ADJ date,ADJ,bm25,mmap-shards,5,152929,56.6418,30.5184,82.7652,44.4370,70.5240,38.0480,86.7870,17.6548,12.0824,32.7672,168711953,2784943
wiki,835456,birth ADJ name,ADJ,bm25,mmap-shards,5,73179,55.0692,26.7885,83.3499,44.6030,47.8230,43.3950,95.7010,18.1590,11.9976,37.3295,192742976,3785537
wiki,835456,birth ADJ place,ADJ,bm25,mmap-shards,5,147488,41.2382,37.7527,44.7237,41.8940,42.5400,37.1940,44.6130,24.2494,22.3595,26.4881,168748616,2800306
wiki,835456,births ADJ category,ADJ,bm25,mmap-shards,5,185555,95.9300,67.2435,124.6165,91.3350,91.7830,73.9590,135.1930,10.4243,8.0246,14.8713,351415171,5354996
wiki,835456,category ADJ 20th,ADJ,bm25,mmap-shards,5,89549,99.4040,63.1924,135.6156,90.3350,112.4760,73.8260,143.8300,10.0600,7.3738,15.8247,332848396,4903372
wiki,835456,category ADJ people,ADJ,bm25,mmap-shards,5,100277,117.6368,70.3648,164.9088,98.2300,144.8400,85.4030,170.7540,8.5007,6.0640,14.2117,380447076,6040501
wiki,835456,class ADJ wikitable,ADJ,bm25,mmap-shards,5,150544,73.6148,47.3987,99.8309,71.0930,87.5910,53.6160,101.8200,13.5842,10.0169,21.0976,159158816,2230451
wiki,835456,date ADJ birth,ADJ,bm25,mmap-shards,5,129902,51.2518,46.5953,55.9083,50.7180,54.8440,47.1150,55.3540,19.5115,17.8864,21.4614,160964446,2739130
wiki,835456,date ADJ death,ADJ,bm25,mmap-shards,5,99492,73.5694,35.9400,111.1988,67.3970,80.2760,44.1360,121.9890,13.5926,8.9929,27.8242,158922771,2776638
wiki,835456,death ADJ date,ADJ,bm25,mmap-shards,5,112828,45.5036,42.7039,48.3033,44.8610,45.6560,43.4690,49.2740,21.9763,20.7025,23.4171,162023920,2803290
wiki,835456,death ADJ place,ADJ,bm25,mmap-shards,5,106462,68.0728,32.4393,103.7063,49.3830,89.5330,44.3640,107.7330,14.6902,9.6426,30.8268,162627220,2816796
wiki,835456,deaths ADJ category,ADJ,bm25,mmap-shards,5,114214,100.3492,46.4002,154.2982,88.9080,93.3670,70.8780,176.0580,9.9652,6.4810,21.5516,318508297,4921428
wiki,835456,each ADJ other,ADJ,bm25,mmap-shards,5,37702,72.6550,27.1395,118.1705,56.9880,57.4750,54.9230,138.2140,13.7637,8.4624,36.8466,167354737,3171937
wiki,835456,even ADJ though,ADJ,bm25,mmap-shards,5,23292,32.6906,23.1332,42.2480,31.4120,33.7320,26.0820,45.2580,30.5898,23.6697,43.2280,94891404,1349935
wiki,835456,female ADJ scientists,ADJ,bm25,mmap-shards,5,67,17.3792,16.6015,18.1569,17.2720,17.8140,16.6860,18.2030,57.5400,55.0755,60.2355,67405998,556652
wiki,835456,feminist ADJ movement,ADJ,bm25,mmap-shards,5,377,15.7478,14.8753,16.6203,15.4230,15.6770,15.3250,16.9790,63.5009,60.1675,67.2254,62853902,393172
wiki,835456,first ADJ time,ADJ,bm25,mmap-shards,5,49373,71.0842,61.7559,80.4125,69.5040,75.0180,62.5050,81.7760,14.0678,12.4359,16.1928,229901920,4258515
