corpus_name,docs,query,operator_type,rank_mode,backend,iterations,hits,avg_latency_ms,avg_latency_ci_low_ms,avg_latency_ci_high_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,qps,qps_ci_low,qps_ci_high,alloc_bytes_per_query,allocs_per_query
wiki,50000,17th ADJ century,ADJ,bm25,mmap-shards,5,3335,17.3838,17.2146,17.5530,17.4150,17.4660,17.1600,17.5110,57.5248,56.9704,58.0901,10059448,150121
wiki,50000,18th ADJ century,ADJ,bm25,mmap-shards,5,4204,18.3804,18.2771,18.4837,18.3660,18.3710,18.3180,18.5230,54.4058,54.1017,54.7133,10555728,156610
wiki,50000,19th ADJ century,ADJ,bm25,mmap-shards,5,8375,22.5990,22.4496,22.7484,22.6460,22.6710,22.4020,22.7040,44.2497,43.9591,44.5443,12251216,185301
wiki,50000,20th ADJ century,ADJ,bm25,mmap-shards,5,10708,24.4564,24.1886,24.7242,24.4540,24.5420,24.2290,24.7700,40.8891,40.4463,41.3417,13250008,201375
wiki,50000,21st ADJ century,ADJ,bm25,mmap-shards,5,4024,17.8854,17.5988,18.1720,17.8360,17.9630,17.6660,18.2440,55.9115,55.0296,56.8221,10020939,152276
wiki,50000,align ADJ center,ADJ,bm25,mmap-shards,5,6527,29.0234,28.8066,29.2402,29.0250,29.1040,28.8210,29.2670,34.4550,34.1994,34.7143,23450696,166759
wiki,50000,best ADJ known,ADJ,bm25,mmap-shards,5,3471,21.4356,21.1614,21.7098,21.3550,21.5560,21.1720,21.7470,46.6514,46.0622,47.2558,12125827,228740
wiki,50000,birth ADJ date,ADJ,bm25,mmap-shards,5,6376,15.8584,15.6850,16.0318,15.8390,15.8730,15.7070,16.0820,63.0581,62.3760,63.7553,10011408,169489
wiki,50000,birth ADJ name,ADJ,bm25,mmap-shards,5,3683,19.1586,18.9539,19.3633,19.1700,19.2870,18.8870,19.2940,52.1959,51.6441,52.7595,11746920,218822
wiki,50000,birth ADJ place,ADJ,bm25,mmap-shards,5,6188,16.8548,16.2562,17.4534,16.6180,16.7750,16.5810,17.7060,59.3303,57.2954,61.5150,10154024,174981
wiki,50000,births ADJ category,ADJ,bm25,mmap-shards,5,6761,26.3694,26.1638,26.5750,26.2950,26.4560,26.2010,26.6150,37.9227,37.6294,38.2207,19654832,274636
wiki,50000,category ADJ 20th,ADJ,bm25,mmap-shards,5,3828,27.2776,27.0996,27.4556,27.2710,27.3440,27.0580,27.4490,36.6601,36.4225,36.9009,20953632,290093
wiki,50000,category ADJ people,ADJ,bm25,mmap-shards,5,4788,35.7640,35.5956,35.9324,35.8180,35.8490,35.5550,35.8920,27.9611,27.8301,28.0933,25276976,367708
wiki,50000,class ADJ wikitable,ADJ,bm25,mmap-shards,5,11967,21.9396,20.5115,23.3677,21.7740,22.0740,20.8350,23.8080,45.5797,42.7941,48.7532,12167936,179620
wiki,50000,date ADJ birth,ADJ,bm25,mmap-shards,5,5025,16.9322,13.3875,20.4769,15.8030,15.9990,15.3870,22.0200,59.0591,48.8355,74.6967,9591419,166799
wiki,50000,date ADJ death,ADJ,bm25,mmap-shards,5,4433,18.1236,17.9588,18.2884,18.0500,18.1700,18.0260,18.3370,55.1767,54.6795,55.6830,10954712,195918
wiki,50000,death ADJ date,ADJ,bm25,mmap-shards,5,5473,20.2636,16.8169,23.7103,18.9460,19.4800,18.7940,25.2070,49.3496,42.1758,59.4639,11560520,197985
wiki,50000,death ADJ place,ADJ,bm25,mmap-shards,5,5300,19.9980,19.7203,20.2757,20.0060,20.1290,19.6770,20.2670,50.0050,49.3200,50.7093,11410035,203507
wiki,50000,deaths ADJ category,ADJ,bm25,mmap-shards,5,5535,30.9264,20.7196,41.1332,27.3250,27.8850,26.6710,45.6130,32.3348,24.3113,48.2635,19549702,276352
wiki,50000,each ADJ other,ADJ,bm25,mmap-shards,5,5956,34.0390,33.6339,34.4441,34.0740,34.2890,33.6870,34.4160,29.3781,29.0326,29.7319,17541296,304799
wiki,50000,even ADJ though,ADJ,bm25,mmap-shards,5,3589,16.8652,16.1187,17.6117,16.9330,17.4040,16.2120,17.4900,59.2937,56.7804,62.0397,9427688,177256
wiki,50000,female ADJ scientists,ADJ,bm25,mmap-shards,5,7,7.1870,6.8562,7.5178,7.0340,7.2860,6.9920,7.6130,139.1401,133.0173,145.8539,5081739,65722
wiki,50000,feminist ADJ movement,ADJ,bm25,mmap-shards,5,79,6.4364,6.0573,6.8155,6.4600,6.5150,6.0110,6.8560,155.3664,146.7237,165.0910,4735547,50251
wiki,50000,first ADJ time,ADJ,bm25,mmap-shards,5,5943,46.0338,41.3993,50.6683,44.4350,45.3370,43.7610,52.6250,21.7232,19.7362,24.1550,22856153,358864
wiki,50000,many ADJ other,ADJ,bm25,mmap-shards,5,3954,40.4670,37.0946,43.8394,39.5170,39.5890,38.8980,45.2970,24.7115,22.8105,26.9581,19054857,340429
wiki,50000,most ADJ common,ADJ,bm25,mmap-shards,5,3438,26.0370,25.7526,26.3214,26.0800,26.1050,25.7540,26.3560,38.4069,37.9919,38.8310,13952384,251822
wiki,50000,most ADJ important,ADJ,bm25,mmap-shards,5,4512,25.7554,23.4074,28.1034,24.8300,25.5230,24.5460,29.0760,38.8268,35.5829,42.7215,13971579,241940
wiki,50000,nbsp ADJ million,ADJ,bm25,mmap-shards,5,3213,20.6878,20.4140,20.9616,20.6260,20.8830,20.4790,20.9560,48.3377,47.7062,48.9861,12655064,163590
wiki,50000,north ADJ america,ADJ,bm25,mmap-shards,5,4334,19.3692,14.7257,24.0127,17.7180,17.7290,17.6660,26.0600,51.6284,41.6446,67.9087,10451484,165018
wiki,50000,other ADJ hand,ADJ,bm25,mmap-shards,5,3010,25.8610,25.5736,26.1484,25.9200,25.9600,25.5760,26.1610,38.6683,38.2432,39.1029,14323896,241267
wiki,50000,prime ADJ minister,ADJ,bm25,mmap-shards,5,3808,10.9674,10.8556,11.0792,10.9480,10.9740,10.8620,11.1100,91.1793,90.2589,92.1186,6755736,70218
wiki,50000,right ADJ thumb,ADJ,bm25,mmap-shards,5,4057,35.5344,35.3893,35.6795,35.5130,35.6280,35.3920,35.6760,28.1417,28.0273,28.2571,21395160,307375
wiki,50000,same ADJ time,ADJ,bm25,mmap-shards,5,5328,29.9378,27.8316,32.0440,29.4430,29.5730,28.8250,32.9180,33.4026,31.2071,35.9304,15715603,290394
wiki,50000,same ADJ year,ADJ,bm25,mmap-shards,5,4271,25.8040,24.7387,26.8693,25.3560,26.2990,24.9660,27.0610,38.7537,37.2172,40.4224,14051016,261501
wiki,50000,style ADJ text,ADJ,bm25,mmap-shards,5,5498,31.0236,27.5679,34.4793,29.4230,32.4270,28.8460,35.2850,32.2335,29.0029,36.2740,22863760,168923
wiki,50000,text ADJ align,ADJ,bm25,mmap-shards,5,6129,28.8860,26.1798,31.5922,28.0480,28.1950,27.5720,32.7630,34.6188,31.6534,38.1974,22670131,145216
wiki,50000,thumb ADJ left,ADJ,bm25,mmap-shards,5,8589,37.3762,35.7405,39.0119,36.5050,38.7520,36.3270,38.8820,26.7550,25.6332,27.9795,20201616,300911
wiki,50000,thumb ADJ right,ADJ,bm25,mmap-shards,5,12139,41.1150,38.8309,43.3991,40.3530,40.3680,40.1620,44.4030,24.3220,23.0420,25.7527,25441038,323120
